local_id,orig_id,sdc_interaction_steps
467,3016,49
468,3017,24
469,3018,21
470,3019,22
471,3024,37
472,3025,42
473,3027,47
474,3030,44
475,3040,21
476,3043,43
477,3046,38
478,3068,28
479,3078,38
480,3085,36
481,3086,25
482,3094,33
483,3095,47
484,3115,35
485,3123,39
486,3125,32
487,3136,34
488,3137,25
489,3152,28
490,3154,22
491,3159,35
492,3167,32
493,3171,36
494,3196,50
495,3216,26
496,3221,33
497,3239,30
498,3245,25
499,3247,27
500,3271,51
501,3272,37
502,3276,27
503,3285,29
504,3291,47
505,3297,35
506,3299,26
507,3303,38
508,3304,49
509,3320,50
510,3349,29
511,3351,49
512,3356,35
513,3385,47
514,3387,32
515,3388,21
516,3391,31
517,3401,22
518,3402,27
519,3405,24
520,3413,33
521,3422,48
522,3425,29
523,3426,25
524,3427,40
525,3429,46
526,3452,27
527,3455,48
528,3456,24
529,3463,48
530,3466,26
531,3467,28
532,3469,43
533,3470,35
534,3471,32
535,3484,40
536,3492,30
537,3495,33
538,3502,37
539,3510,22
540,3513,51
541,3524,45
542,3527,28
543,3528,39
544,3529,29
545,3532,37
546,3535,36
547,3538,39
548,3539,36
549,3545,52
550,3547,24
551,3555,42
552,3563,22
553,3573,35
554,3575,48
555,3577,37
556,3578,32
557,3588,44
558,3595,31
559,3597,36
560,3616,29
561,3617,31
562,3633,39
563,3642,33
564,3649,48
565,3652,28
566,3655,29
567,3656,35
568,3659,41
569,3669,30
570,3671,29
571,3708,26
572,3725,37
573,3729,36
574,3730,41
575,3741,35
576,3743,27
577,3749,24
578,3755,40
579,3758,36
580,3768,33
581,3773,38
582,3779,23
583,3780,24
584,3783,38
585,3790,51
586,3796,42
587,3803,51
588,3813,30
589,3816,48
590,3818,30
591,3840,47
592,3845,35
593,3854,24
594,3867,33
595,3872,27
596,3873,46
597,3879,37
598,3882,32
599,3899,50
600,3909,30
601,3918,29
602,3922,48
603,3923,30
604,3933,21
605,3934,33
606,3950,50
607,3957,35
608,3965,22
609,3976,37
610,3986,50
611,3988,21
612,3995,28
613,3999,26
614,4004,21
615,4007,21
616,4014,23
617,4016,23
618,4025,34
619,4062,30
620,4065,35
621,4067,39
622,4075,23
623,4079,44
624,4088,34
625,4093,32
626,4097,34
627,4108,36
628,4110,42
629,4131,23
630,4139,25
631,4157,31
632,4162,51
633,4169,26
634,4178,26
635,4186,34
636,4202,35
637,4218,29
638,4237,48
639,4246,35
640,4248,34
641,4258,37
642,4272,50
643,4277,21
644,4280,51
645,4304,27
646,4305,48
647,4314,36
648,4320,24
649,4332,25
650,4343,25
651,4347,48
652,4361,40
653,4362,47
654,4367,30
655,4370,39
656,4371,37
657,4373,36
658,4379,32
659,4381,28
660,4382,49
661,4394,48
662,4400,51
663,4410,21
664,4419,30
665,4421,28
666,4422,40
667,4439,41
668,4440,32
669,4447,23
670,4453,26
671,4468,21
672,4470,47
673,4473,37
674,4477,29
675,4482,29
676,4495,37
677,4510,36
678,4513,29
679,4523,23
680,4528,41
681,4532,45
682,4541,44
683,4542,38
684,4551,37
685,4562,36
686,4564,31
687,4572,22
688,4577,22
689,4578,22
690,4580,36
691,4584,33
692,4599,48
693,4603,22
694,4608,33
695,4624,40
696,4630,32
697,4632,52
698,4653,42
699,4655,46
700,4662,50
701,4678,52
702,4686,31
703,4700,40
704,4705,44
705,4710,33
706,4731,21
707,4735,28
708,4736,30
709,4744,37
710,4747,22
711,4753,46
712,4756,27
713,4762,28
714,4769,28
715,4788,29
716,4792,26
717,4802,29
718,4804,39
719,4810,39
720,4812,46
721,4813,22
722,4816,45
723,4819,23
724,4821,48
725,4835,22
726,4836,27
727,4838,31
728,4840,23
729,4841,39
730,4845,45
731,4859,46
732,4866,41
733,4886,25
734,4898,51
735,4901,44
736,4902,26
737,4909,22
738,4911,29
739,4913,22
740,4915,35
741,4920,36
742,4929,51
743,4930,23
744,4940,36
745,4943,35
746,4958,37
747,4962,26
748,4971,30
749,4975,35
750,4979,28
751,4987,39
752,4992,21
